             Hugoniot for material id: 182
             Zbar =  2.60000E+01 Abar =  5.58470E+01 Rho =  7.96900E+00

      Rho         Pres         Enrgy        Temp          Up           Us
  2.84800E+01  1.64238E+14  7.42344E+12  3.34262E-02  3.85240E+06  5.34915E+06
  2.87648E+01  1.73018E+14  7.85024E+12  3.47568E-02  3.96164E+06  5.47975E+06
  2.90524E+01  1.82581E+14  8.31543E+12  3.61515E-02  4.07737E+06  5.61852E+06
  2.93430E+01  1.93018E+14  8.82356E+12  3.76307E-02  4.20014E+06  5.76611E+06
  2.96364E+01  2.04441E+14  9.38012E+12  3.92146E-02  4.33063E+06  5.92338E+06
  2.99327E+01  2.16984E+14  9.99177E+12  4.09253E-02  4.46963E+06  6.09133E+06
  3.02321E+01  2.30812E+14  1.06666E+13  4.27876E-02  4.61813E+06  6.27118E+06
  3.05344E+01  2.46121E+14  1.14142E+13  4.48298E-02  4.77729E+06  6.46439E+06
  3.08397E+01  2.63155E+14  1.22467E+13  4.70856E-02  4.94848E+06  6.67271E+06
  3.11481E+01  2.82213E+14  1.31788E+13  4.95960E-02  5.13338E+06  6.89824E+06
  3.14596E+01  3.03669E+14  1.42289E+13  5.24108E-02  5.33401E+06  7.14354E+06
  3.17742E+01  3.27997E+14  1.54202E+13  5.55930E-02  5.55287E+06  7.41175E+06
  3.20920E+01  3.55802E+14  1.67827E+13  5.92227E-02  5.79304E+06  7.70677E+06
  3.24129E+01  3.87843E+14  1.83537E+13  6.33865E-02  6.05816E+06  8.03319E+06
  3.27370E+01  4.25085E+14  2.01808E+13  6.81219E-02  6.35260E+06  8.39652E+06
  3.30644E+01  4.68826E+14  2.23281E+13  7.35459E-02  6.68208E+06  8.80396E+06
  3.33950E+01  5.20732E+14  2.48778E+13  7.98204E-02  7.05334E+06  9.26399E+06
  3.37290E+01  5.82880E+14  2.79331E+13  8.71451E-02  7.47397E+06  9.78608E+06
